"","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","days_since_last_login","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score","Days_from","time_from_last_visit"
"289",41,"M","Town","Gold Membership","Yes","Without Offers","Smartphone","Wi-Fi",7,248.72,33879.22,26,713.39,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","4",759,164
"293",21,"M","Town","Platinum Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",9,164.87,49628.7,15,188.192446865088,"Yes","No","No","Not Applicable","Too many ads","3",833,196
"297",38,"M","Village","No Membership","No","Without Offers","Desktop","Mobile_Data",11,376.93,31089.9,25,1071.82476292146,"Yes","No","Yes","Solved","No reason specified","5",935,245
"298",12,"F","City","No Membership","Yes","Without Offers","Both","Fiber_Optic",13,619.2,44015.54,9,826.426358440825,"Yes","Yes","No","Not Applicable","Poor Product Quality","5",540,312
"299",34,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",5,165.92,46167.97,23,661.83,"No","Yes","No","Not Applicable","No reason specified","4",580,119
"302",15,"M","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",14,766.04,44858.07,18,689.99,"Yes","Yes","No","Not Applicable","Poor Customer Service","4",620,328
"304",55,"M","Town","Premium Membership","Yes","Without Offers","Smartphone","Mobile_Data",7,792.59,44496.31,19,741.71,"Yes","No","No","Not Applicable","Too many ads","3",101,160
"305",59,"F","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",12,629.37,23602.1,11,742.41,"Yes","Yes","No","Not Applicable","Poor Website","3",876,284
"306",50,"M","Town","No Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",22,56.28,6124.94,15,561.78,"No","Yes","No","Not Applicable","Poor Website","5",849,506
"307",48,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",20,200.46,40236.57,21,647.61,"Yes","No","No","Not Applicable","No reason specified","5",449,460
"308",23,"F","City","No Membership","Yes","Without Offers","Smartphone","Mobile_Data",16,1262.44458895349,12163.94,11,677.29,"Yes","No","No","Not Applicable","Poor Customer Service","5",790,364
"311",49,"M","Town","No Membership","Yes","Without Offers","Smartphone","Wi-Fi",15,30.58,38036.67,29,636.43,"Yes","No","Yes","Solved","Too many ads","5",769,356
"313",56,"F","Village","No Membership","Yes","Without Offers","Smartphone","Fiber_Optic",11,177.42,6280.96,20,578.69,"Yes","No","Yes","No Information Available","No reason specified","5",14,242
"314",32,"F","City","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",15,33.77,32673.05,21,529.02,"No","Yes","No","Not Applicable","No reason specified","5",673,354
"315",52,"M","Village","Gold Membership","No","Without Offers","Desktop","Wi-Fi",15,33.5,50085.74,4,1242.20099851238,"No","Yes","No","Not Applicable","Reasonable Price","2",597,337
"316",16,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",8,62.53,23123.43,22,524.34,"Yes","No","No","Not Applicable","Too many ads","5",366,177
"317",48,"F","Village","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",15,583.96,38477.8,13,608.37,"Yes","No","No","Not Applicable","No reason specified","5",770,350
"318",61,"M","City","Platinum Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",9,315.37,28202.86,19,778.62,"Yes","No","No","Not Applicable","Poor Website","3",167,210
"319",33,"F","Town","Basic Membership","Yes","Without Offers","Smartphone","Wi-Fi",14,146.24,2203.18,15,301.544484354295,"No","Yes","Yes","Solved in Follow-up","No reason specified","5",603,315
"320",22,"M","City","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",20,103.51,21574,5,414.24615081698,"No","Yes","Yes","Solved in Follow-up","Poor Product Quality","4",507,476
"324",12,"M","City","No Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",14,86.25,31792.97,9,1098.60085112964,"No","Yes","Yes","No Information Available","Too many ads","4",695,329
"326",12,"M","Town","No Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",8,122.17,12440.72,5,677.35,"No","Yes","Yes","No Information Available","Poor Website","5",256,185
"327",45,"F","Town","No Membership","Yes","Without Offers","Smartphone","Wi-Fi",6,1482.53,13626.01,23,555.38,"Yes","Yes","No","Not Applicable","No reason specified","5",164,141
"333",13,"M","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",4,150.97,85750.12,6,785.69,"Yes","No","No","Not Applicable","Quality Customer Care","2",650,89
"335",47,"F","Town","Premium Membership","No","Without Offers","Smartphone","Mobile_Data",2,163.43,5843.93,5,754.32,"No","Yes","Yes","No Information Available","Too many ads","3",478,46
"339",44,"M","Town","Premium Membership","No","Without Offers","Smartphone","Fiber_Optic",21,34.97,14545.9,8,360.58246425944,"Yes","No","Yes","Unsolved","Poor Website","3",525,494
"340",17,"M","Village","Silver Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",3,349.92,25966.98,9,659.95,"Yes","No","No","Not Applicable","Poor Customer Service","4",419,68
"343",16,"F","City","Silver Membership","No","Without Offers","Smartphone","Mobile_Data",13,47.22,15403.3,19,672.15,"No","Yes","No","Not Applicable","Poor Website","4",240,300
"345",52,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",9,502.02,28024.35,8,1161.05766083867,"No","Yes","Yes","Solved","Poor Product Quality","5",34,203
"349",18,"F","Town","No Membership","Yes","Without Offers","Smartphone","Mobile_Data",17,200.63,21330.47,22,661.3,"No","Yes","No","Not Applicable","No reason specified","4",527,387
"352",59,"M","Town","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",14,1431.64654605611,56989.08,7,727.58,"Yes","No","Yes","Unsolved","User Friendly Website","2",384,330
"357",18,"M","Town","Gold Membership","No","Without Offers","Desktop","Fiber_Optic",21,260.08,15097.46,11,773.63,"Yes","No","No","Not Applicable","Poor Product Quality","3",868,495
"361",49,"M","City","No Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",9,76.11,28870.14,28,683.65,"Yes","No","Yes","No Information Available","Poor Product Quality","5",179,203
"363",41,"F","Town","Platinum Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",10,1110.18953139758,49615.92,24,786.64,"Yes","No","Yes","Solved","Poor Customer Service","3",942,239
"364",25,"F","Town","No Membership","No","Without Offers","Smartphone","Mobile_Data",8,305.27,28019.96,7,608.54,"Yes","No","No","Not Applicable","Poor Product Quality","5",741,171
"365",36,"F","City","Gold Membership","No","Without Offers","Smartphone","Fiber_Optic",24,563.3,38221,10,1296.66948084279,"No","Yes","Yes","Solved","Poor Customer Service","3",189,564
"366",16,"F","Village","No Membership","No","Credit/Debit Card Offers","Both","Fiber_Optic",7,237.14,5061.41,10,989.973193087582,"Yes","Yes","No","Not Applicable","Poor Website","4",11,166
"367",30,"M","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",2,58.85,46895.72,16,792.09,"No","Yes","Yes","Unsolved","Too many ads","3",379,40
"371",49,"M","City","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",13,150.91,17129.53,15,639.82,"No","Yes","Yes","No Information Available","Poor Product Quality","4",347,301
"372",13,"F","Town","Gold Membership","Yes","Without Offers","Desktop","Wi-Fi",9,271.76,26424.38,14,756.13,"Yes","Yes","No","Not Applicable","Poor Product Quality","3",848,199
"373",56,"M","Village","Platinum Membership","Yes","Without Offers","Both","Fiber_Optic",3,733.67,14436.07,6,297.403945020344,"Yes","Yes","Yes","Solved","Quality Customer Care","2",947,64
"378",20,"M","City","Platinum Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",2,352.61,1816.1,5,733.6,"No","Yes","No","Not Applicable","Poor Website","3",599,47
"380",29,"M","City","Basic Membership","No","Without Offers","Desktop","Wi-Fi",19,43.5,14431.86,27,686.86,"Yes","No","No","Not Applicable","Poor Customer Service","4",165,436
"382",46,"M","Town","Gold Membership","No","Without Offers","Smartphone","Mobile_Data",20,393.41,15462.29,8,747.11,"No","Yes","Yes","No Information Available","No reason specified","3",914,475
"383",60,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",5,95.02,11757.89,6,750.89,"Yes","No","No","Not Applicable","Too many ads","3",398,104
"384",61,"F","City","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",25,50.63,97688.49,17,292.568680671938,"Yes","No","Yes","Solved","Reasonable Price","1",522,598
"385",56,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",12,34.08,34687.38,15,717.96,"No","Yes","No","Not Applicable","Reasonable Price","2",690,285
"386",41,"M","City","Basic Membership","No","Without Offers","Smartphone","Mobile_Data",16,34.82,33188.16,27,367.693021137953,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","4",433,384
"388",29,"F","Town","Premium Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",6,201.06,8436.67,6,1071.24332249054,"Yes","No","Yes","Solved","Products always in Stock","1",250,130
"389",28,"M","City","Silver Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",16,348.67,38427.15,29,700.81,"Yes","No","Yes","Unsolved","Poor Website","3",438,366
"390",56,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",14,42.78,43391.4,28,436.088333802508,"Yes","No","Yes","Solved in Follow-up","Poor Customer Service","5",862,315
"391",43,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",21,33.37,36894.82,18,701.81,"No","Yes","No","Not Applicable","Poor Customer Service","3",609,486
"394",60,"F","Town","No Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",16,101.56,5132.55,16,621.96,"No","Yes","Yes","Unsolved","Poor Product Quality","4",955,365
"395",35,"F","City","No Membership","No","Without Offers","Smartphone","Fiber_Optic",9,37.59,28432.23,29,631.14,"No","Yes","Yes","Unsolved","Poor Product Quality","4",948,200
"402",54,"F","City","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",4,80.78,19793.69,18,676.01,"No","Yes","No","Not Applicable","Too many ads","4",18,90
"403",63,"F","City","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",9,96.65,24717.58,35.529473941675,746.23,"Yes","No","Yes","Solved in Follow-up","Quality Customer Care","2",16,215
"405",36,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",16,119.69,48054.16,20,606.57,"No","Yes","Yes","Solved in Follow-up","No reason specified","4",280,375
"406",55,"M","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",15,156.18,14801.69,12,645.38,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","4",888,345
"407",24,"F","Village","Gold Membership","No","Without Offers","Desktop","Wi-Fi",19,58.11,7232.66,8,673.32,"No","Yes","No","Not Applicable","Poor Product Quality","4",136,454
"411",35,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",10,495.46,26812.57,17,538.4,"Yes","Yes","Yes","Solved","Poor Website","5",923,220
"412",59,"M","Town","No Membership","Yes","Without Offers","Both","Fiber_Optic",15,510.73,20038.13,7,622.29,"Yes","Yes","No","Not Applicable","Poor Customer Service","5",619,356
"413",23,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",17,378.32,6289.63,29,717,"No","Yes","No","Not Applicable","Too many ads","4",1080,385
"415",36,"M","City","No Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",4,247.62,17192.01,12,614.6,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality","4",874,79
"419",30,"M","City","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",17,512.86,84959.24,19,759.74,"No","Yes","No","Not Applicable","Reasonable Price","2",1050,401
"420",29,"M","City","No Membership","No","Gift Vouchers/Coupons","Both","Mobile_Data",12,523.17,48510.75,12,1203.69330012593,"Yes","No","No","Not Applicable","Poor Product Quality","5",108,279
"422",54,"F","Village","No Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",23,388.92,46687.09,20,951.689316278626,"No","Yes","Yes","No Information Available","Poor Product Quality","4",79,548
"423",38,"F","Village","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",18,64.35,32459.02,18,626.88,"Yes","No","No","Not Applicable","Poor Website","4",883,416
"424",19,"F","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",8,437.82,2361.57,6,720.59,"No","Yes","No","Not Applicable","Poor Product Quality","3",590,181
"425",28,"F","Town","Silver Membership","No","Credit/Debit Card Offers","Both","Mobile_Data",15,425.87,20552.83,6,734.31,"Yes","Yes","No","Not Applicable","Poor Product Quality","3",18,340
"426",57,"F","City","Platinum Membership","No","Without Offers","Desktop","Wi-Fi",12,400.2,32446,10,839,"Yes","No","No","Not Applicable","User Friendly Website","1",952,285
"427",56,"F","Village","Platinum Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",20,34.14,26613.52,25,708.39,"No","Yes","Yes","Unsolved","Too many ads","3",499,468
"429",36,"M","City","Basic Membership","No","Without Offers","Desktop","Wi-Fi",15,186.4,26284.13,17,656.21,"Yes","No","No","Not Applicable","Poor Website","5",813,353
"431",13,"M","Town","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",5,1721.26,28781.74,13,512.17,"Yes","Yes","Yes","Solved","Poor Customer Service","5",1,104
"432",27,"M","Village","Silver Membership","Yes","Credit/Debit Card Offers","Both","Mobile_Data",10,747.05,29414.81,16,683.08,"No","Yes","Yes","Solved","Poor Product Quality","4",1029,222
"434",26,"F","City","No Membership","Yes","Without Offers","Desktop","Mobile_Data",12,652.19,26519.82,16,1466.43648007461,"Yes","Yes","No","Not Applicable","No reason specified","5",235,287
"435",16,"M","City","Basic Membership","Yes","Without Offers","Smartphone","Mobile_Data",11,130.05,17513.69,29,535.24,"No","Yes","Yes","Unsolved","Too many ads","5",461,258
"437",23,"M","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",13,32.83,49711.44,26,485.020957757146,"No","Yes","No","Not Applicable","Too many ads","3",155,311
"438",25,"F","City","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",12,529.07,6325.37,23,744.6,"Yes","No","Yes","Unsolved","Poor Product Quality","3",1035,267
"439",16,"M","Village","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",7,47.18,2242.41,14,667.44,"No","Yes","No","Not Applicable","Poor Customer Service","5",919,147
"444",27,"M","Town","Silver Membership","Yes","Without Offers","Both","Fiber_Optic",11,249.36,28951.39,18,768.86,"Yes","No","No","Not Applicable","Too many ads","3",799,262
"445",22,"F","City","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",3,2732.7,79718.85,5,824.45,"Yes","Yes","Yes","Solved in Follow-up","User Friendly Website","1",516,60
"446",19,"F","City","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",14,213.38,14581.71,18,713.31,"Yes","Yes","No","Not Applicable","Poor Customer Service","3",338,334
"450",52,"M","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",21,30.48,1911.99,22,745.75,"Yes","No","Yes","No Information Available","Too many ads","3",389,494
"451",39,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",21,186.03,2353.19,22,675.41,"Yes","No","No","Not Applicable","No reason specified","4",253,503
"452",20,"F","Village","Platinum Membership","No","Gift Vouchers/Coupons","Both","Mobile_Data",20,257.51,26394.03,11,792.01,"No","Yes","No","Not Applicable","Reasonable Price","2",893,457
"454",16,"M","City","Premium Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",7,280.15,61874.77,4,774.36,"No","Yes","Yes","Solved in Follow-up","Quality Customer Care","1",80,164
"455",17,"F","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",20,69.38,1062.77,24,699.24,"Yes","No","Yes","Solved","Too many ads","5",351,473
"457",37,"F","Town","Basic Membership","Yes","Without Offers","Smartphone","Wi-Fi",13,66.03,46020.2,29,529.86,"No","Yes","No","Not Applicable","Poor Website","5",428,294
"458",49,"F","Town","Basic Membership","No","","Smartphone","Mobile_Data",24,31.93,24009.29,6,618.05,"Yes","No","Yes","No Information Available","Poor Product Quality","5",469,559
"459",36,"M","City","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",23,125.03,10994.22,20,1147.98763332038,"Yes","No","No","Not Applicable","No reason specified","5",657,551
"460",59,"F","Village","Gold Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",21,228.5,9071.32,8,703.79,"Yes","No","No","Not Applicable","Poor Website","3",828,504
"462",17,"M","City","Silver Membership","Yes","Without Offers","Both","Wi-Fi",4,406.37,14837.87,19,742.51,"No","Yes","No","Not Applicable","Poor Website","3",1083,90
"464",48,"M","Village","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",14,160.61,90796.23,3,823.46,"No","Yes","Yes","Unsolved","Reasonable Price","1",708,332
"465",47,"M","Town","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",14,247.55,40684.25,20,701.81,"Yes","Yes","No","Not Applicable","Too many ads","3",567,332
